Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Discount,Total Value,Packing & Forwarding,Freight,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Rounded Off,Total
1,1-Jan-19,ARH/J117/100,100,3-Jan-19,12-Dec-18,Side Mount Level Switch,1,6000,6000,10%,5400,,,486,486,972,6372,,6372
2,5-Jan-19,ARH/J117/101,101,5-Jan-19,12-Dec-18,Tubuler Type Level Gauge,5,2900,14500,,14500,100,25,1305,1305,2610,17235,,17235
3,5-Jan-19,ARH/J117/102,102,5-Jan-19,25-Dec-18,Tubuler Type Level Gauge,2,2900,5800,5%,5510,,,495.9,495.9,991.8,6501.8,0.8,6501
4,6-Jan-19,ARH/J117/103,103,6-Jan-19,25-Dec-18,Conductivity Level Switch,1,4250,4250,,4250,,60,382.5,382.5,765,5075,,5075
5,10-Jan-19,ARH/J117/104,104,10-Jan-19,25-Dec-18,Cable Float Level Switch,2,10053,20106,,20106,150,,1809.54,1809.54,3619.08,23875.08,0.08,23875
6,11-Jan-19,ARH/J117/105,105,11-Jan-19,25-Dec-18,By-Pass Level Indicator,3,3500,10500,,10500,,,945,945,1890,12390,,12390
7,15-Jan-19,ARH/J117/106,106,15-Jan-19,23-Dec-18,Miniature Level Switch(SS),2,1502,3004,15%,2553.4,,,229.806,229.806,459.612,3013.012,0.012,3013
8,16-Jan-19,ARH/J117/107,107,16-Jan-19,10-Dec-18,Tubuler Type Level Gauge,1,2900,2900,,2900,100,55,261,261,522,3577,,3577
9,18-Jan-19,ARH/J117/108,108,18-Jan-19,2-Jan-19,By-Pass Level Indicator,5,3500,17500,,17500,,,1575,1575,3150,20650,,20650
10,18-Jan-19,ARH/J117/109,109,18-Jan-19,4-Jan-19,Float And Board Level Indicator,1,3520,3520,,3520,,25,316.8,316.8,633.6,4178.6,0.6,4178
11,18-Jan-19,ARH/J117/110,110,18-Jan-19,1-Dec-19,Tubuler Type Level Gauge,1,2900,2900,,2900,,,261,261,522,3422,,3422
12,19-Jan-19,ARH/J117/111,111,19-Jan-19,5-Dec-19,External Chambers,1,4200,4200,5%,3990,,,359.1,359.1,718.2,4708.2,0.2,4708
13,20-Jan-19,ARH/J117/112,112,20-Jan-19,31-Dec-19,Transparent Level Gauge,1,5600,5600,,5600,100,150,504,504,1008,6858,,6858
14,23-Jan-19,ARH/J117/113,113,23-Jan-19,6-Jan-19,Miniature Level Switch(PP),1,1502,1502,,1502,,,135.18,135.18,270.36,1772.36,0.36,1772
15,24-Jan-19,ARH/J117/114,114,24-Jan-19,5-Jan-19,Tubuler Type Level Gauge,1,2900,2900,10%,2610,,139,234.9,234.9,469.8,3218.8,0.8,3218
16,27-Jan-19,ARH/J117/115,115,27-Jan-19,14-Jan-19,Tubuler Type Level Gauge,6,2900,17400,,17400,,,1566,1566,3132,20532,,20532
17,28-Jan-19,ARH/J117/116,116,28-Jan-19,14-Jan-19,By-Pass Level Indicator,1,3500,3500,,3500,,125,315,315,630,4255,,4255
18,28-Jan-19,ARH/J117/117,117,28-Jan-19,14-Jan-19,By-Pass Level Indicator,1,3500,3500,,3500,,,315,315,630,4130,,4130
19,28-Jan-19,ARH/J117/118,118,28-Jan-19,15-Jan-19,Tubuler Type Level Gauge,5,2900,14500,,14500,,,1305,1305,2610,17110,,17110
20,28-Jan-19,ARH/J117/119,119,28-Jan-19,16-Jan-19,Miniature Level Switch(SS),1,1502,1502,5%,1426.9,250,50,128.421,128.421,256.842,1983.742,0.742,1983
21,28-Jan-19,ARH/J117/120,120,28-Jan-19,17-Jan-19,By-Pass Level Indicator,2,3500,7000,5%,6650,,,598.5,598.5,1197,7847,,7847
1,3-Feb-19,ARH/F217/100,100,3-Feb-19,18-Jan-19,Magnetic Float Level Switch,2,12300,24600,5%,23370,350,,2103.3,2103.3,4206.6,27926.6,0.6,27926
2,3-Feb-19,ARH/F217/101,101,3-Feb-19,25-Jan-19,Conductivity Float Level Switch,2,11700,23400,5%,22230,350,,2000.7,2000.7,4001.4,26581.4,0.4,26581
3,3-Feb-19,ARH/F217/102,102,3-Feb-19,25-Jan-19,Conductivity Level Sensor,1,3600,3600,,3600,,100,324,324,648,4348,,4348
4,8-Feb-19,ARH/F217/103,103,8-Feb-19,26-Jan-19,Miniature Level Switch,1,2850,2850,,2850,,,256.5,256.5,513,3363,,3363
5,8-Feb-19,ARH/F217/104,104,8-Feb-19,27-Jan-19,Magnetic Float Level Switch,6,12300,73800,5%,70110,,,6309.9,6309.9,12619.8,82729.8,0.8,82729
6,13-Feb-19,ARH/F217/105,105,13-Feb-19,28-Jan-19,Side Mount Level Switch,1,650,650,,650,,,58.5,58.5,117,767,,767
7,15-Feb-19,ARH/F217/106,106,15-Feb-19,28-Jan-19,Conductivity Float Level Switch,1,11700,11700,,11700,,,1053,1053,2106,13806,,13806
8,15-Feb-19,ARH/F217/107,107,15-Feb-19,28-Jan-19,Miniature Level Switch,1,2850,2850,,2850,,,256.5,256.5,513,3363,,3363
9,15-Feb-19,ARH/F217/108,108,15-Feb-19,5-Feb-19,Magnetic Float Level Switch,4,12300,49200,5%,46740,500,200,4206.6,4206.6,8413.2,55853.2,0.2,55853
10,16-Feb-19,ARH/F217/109,109,16-Feb-19,5-Feb-19,Reed Based Level Transmitter,1,6900,6900,,6900,,,621,621,1242,8142,,8142
11,17-Feb-19,ARH/F217/110,110,17-Feb-19,31-Jan-19,Capacitance Type,2,35000,70000,10%,63000,900,,5670,5670,11340,75240,,75240
12,18-Feb-19,ARH/F217/111,111,18-Feb-19,15-Jan-19,Reflex Level Gauge,1,7200,7200,,7200,,,648,648,1296,8496,,8496
13,18-Feb-19,ARH/F217/112,112,18-Feb-19,2-Feb-19,Conductivity Float Level Switch,2,11700,23400,,23400,,,2106,2106,4212,27612,,27612
14,18-Feb-19,ARH/F217/113,113,18-Feb-19,3-Feb-19,Capicitance Type,1,35000,35000,10%,31500,450,,2835,2835,5670,37620,,37620
15,24-Feb-19,ARH/F217/114,114,24-Feb-19,4-Feb-19,Magnetic Float Level Switch,5,12300,61500,,61500,150,100,5535,5535,11070,72820,,72820
16,24-Feb-19,ARH/F217/115,115,24-Feb-19,15-Feb-19,Reflex Level Gauge,1,7200,7200,,7200,,100,648,648,1296,8596,,8596
17,24-Feb-19,ARH/F217/116,116,24-Feb-19,15-Feb-19,Side Mount Level Switch,2,650,1300,,1300,,,117,117,234,1534,,1534
18,27-Feb-19,ARH/F217/117,117,27-Feb-19,20-Feb-19,Conductivity Float Level Switch,1,11700,11700,,11700,350,,1053,1053,2106,14156,,14156
19,27-Feb-19,ARH/F217/118,118,27-Feb-19,20-Feb-19,Miniature Level Switch,3,2850,8550,5%,8122.5,,,731.025,731.025,1462.05,9584.55,0.55,9584
